排名,封面,歌名,歌手,愛心數量,愛心數量(數值),播放次數,時長,發佈日期,標籤,歌曲連結
1,https://i.ytimg.com/vi/SX_ViT4Ra7k/sddefault.jpg,Lemon,米津玄師,9.5K,9500,496.3K,4:35,2018-03-14,"#JPOP, #米津玄師",https://www.marumaru-x.com/japanese-song/play-1zn42zjre4
2,https://i.ytimg.com/vi/-tKVN2mAKRI/sddefault.jpg,打上花火,DAOKO×米津玄師,7.4K,7400,336.2K,4:53,2017-08-16,"#ANM, #DAOKO, #米津玄師",https://www.marumaru-x.com/japanese-song/play-ywn12djr7l
3,https://i.ytimg.com/vi/by4SYYWlhEs/sddefault.jpg,夜に駆ける,YOASOBI,6.4K,6400,375.4K,4:22,2019-12-15,"#JPOP, #YOASOBI",https://www.marumaru-x.com/japanese-song/play-14o711xqok
4,https://i.ytimg.com/vi/x1FV6IrjZCY/sddefault.jpg,紅蓮華,LiSA,5.4K,5400,248K,3:56,2019-07-03,"#ANM, #LiSA",https://www.marumaru-x.com/japanese-song/play-lvnw1830o7
5,https://i.ytimg.com/vi/jhOVibLEDhA/sddefault.jpg,恋,星野源,4.9K,4900,228.7K,4:53,2016-10-05,"#JPOP, #星野源",https://www.marumaru-x.com/japanese-song/play-14o797drkq
6,https://i.ytimg.com/vi/GcpsTmDO9k0/sddefault.jpg,First Love,宇多田ヒカル,4.8K,4800,226K,4:16,1999-03-10,"#JPOP, #宇多田ヒカル",https://www.marumaru-x.com/japanese-song/play-14o71dqokq
7,https://i.ytimg.com/vi/4DxL6IKmXx4/sddefault.jpg,炎,LiSA,4.4K,4400,210K,5:02,2020-10-14,"#ANM, #LiSA",https://www.marumaru-x.com/japanese-song/play-pynpv4k9nd
8,https://i.ytimg.com/vi/1Bk9YpwWEsg/sddefault.jpg,世界が終るまでは…,WANDS,4.4K,4400,233.4K,5:18,1994-06-28,"#ANM, #WANDS",https://www.marumaru-x.com/japanese-song/play-evr8qzxrm5
9,https://i.ytimg.com/vi/Y4nEEZwckuU/sddefault.jpg,群青,YOASOBI,4.3K,4300,192.6K,4:23,2020-09-01,"#JPOP, #YOASOBI",https://www.marumaru-x.com/japanese-song/play-e4oy56lmn3
10,https://i.ytimg.com/vi/o6wtDPVkKqI/sddefault.jpg,残酷な天使のテーゼ,高橋洋子,4K,4000,102.7K,4:04,1995-10-25,"#ANM, #高橋洋子",https://www.marumaru-x.com/japanese-song/play-60rm93y4np
11,https://i.ytimg.com/vi/gJX2iy6nhHc/sddefault.jpg,灰色と青 ( + 菅田将暉),米津玄師,4K,4000,179.1K,5:43,2017-11-01,"#JPOP, #米津玄師, #菅田将暉",https://www.marumaru-x.com/japanese-song/play-72r9187oz3
12,https://i.ytimg.com/vi/kzZ6KXDM1RI/sddefault.jpg,ドライフラワー,優里,4K,4000,193.1K,4:48,2020-10-25,"#JPOP, #優里",https://www.marumaru-x.com/japanese-song/play-dvol954do2
13,https://i.ytimg.com/vi/PDSkFeMVNFs/sddefault.jpg,前前前世 (movie ver.),RADWIMPS,3.9K,3900,132.9K,4:53,2016-08-24,"#ANM, #RADWIMPS",https://www.marumaru-x.com/japanese-song/play-72r9qy9nz3
14,https://i.ytimg.com/vi/dy90tA3TT1c/sddefault.jpg,怪物,YOASOBI,3.9K,3900,182.4K,3:29,2021-01-06,"#ANM, #YOASOBI",https://www.marumaru-x.com/japanese-song/play-lvnw136qo7
15,https://i.ytimg.com/vi/B0GpxW8K0vY/sddefault.jpg,secret base～君がくれたもの～ (10 years after Ver.),本間芽衣子(茅野愛衣)、安城鳴子(戸松遥)、鶴見知利子(早見沙織),3.8K,3800,79.4K,5:53,2011-04-27,"#ANM, #茅野愛衣, #戸松遥, #早見沙織",https://www.marumaru-x.com/japanese-song/play-vxn5vywo9e
16,https://i.ytimg.com/vi/ZRtdQ81jPUQ/sddefault.jpg,アイドル,YOASOBI,3.7K,3700,200.1K,3:46,2023-04-12,"#ANM, #YOASOBI",https://www.marumaru-x.com/japanese-song/play-14o71qkqok
17,https://i.ytimg.com/vi/n89SKAymNfA/sddefault.jpg,なんでもないや (movie ver.),RADWIMPS,3.7K,3700,120.6K,5:45,2016-08-24,"#ANM, #RADWIMPS",https://www.marumaru-x.com/japanese-song/play-evr845ppnm
18,https://i.ytimg.com/vi/JzurtO4yHrM/sddefault.jpg,君が好きだと叫びたい,BAAD,3.7K,3700,140.8K,3:48,1994-03-12,"#ANM, #BAAD",https://www.marumaru-x.com/japanese-song/play-1poxykxnyw
19,https://i.ytimg.com/vi/TQ8WlA2GXbk/sddefault.jpg,Pretender,Official髭男dism,3.3K,3300,132.5K,5:36,2019-05-15,"#JPOP, #Official髭男dism",https://www.marumaru-x.com/japanese-song/play-q9oqljlmn4
20,https://i.ytimg.com/vi/vjj16qog4vQ/sddefault.jpg,明日晴れるかな,桑田佳祐,3.3K,3300,152.1K,5:16,2007-05-16,"#JPOP, #サザンオールスターズ, #桑田佳祐",https://www.marumaru-x.com/japanese-song/play-wdr66mgr35
21,https://i.ytimg.com/vi/mF5Qq2YheTg/sddefault.jpg,雪の華,中島美嘉,3.2K,3200,99.4K,5:50,2004-06-21,"#JPOP, #中島美嘉",https://www.marumaru-x.com/japanese-song/play-v7n3kvkokw
